qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.017393112182617188,0.02648782730102539,0.023731708526611328,0.02460622787475586,0.022291183471679688,0.027158498764038086,0.011963844299316406
0.016955137252807617,0.02582383155822754,0.02430438995361328,0.02461862564086914,0.021930217742919922,0.02490401268005371,0.012096643447875977
0.016643285751342773,0.024919509887695312,0.06667685508728027,0.0228269100189209,0.0219419002532959,0.0263822078704834,0.013222694396972656
0.015448331832885742,0.026549339294433594,0.025008678436279297,0.022623538970947266,0.022901535034179688,0.02535414695739746,0.011831521987915039
0.01538848876953125,0.02448439598083496,0.025484800338745117,0.02375197410583496,0.023025989532470703,0.024364233016967773,0.010765790939331055
0.014348983764648438,0.021901369094848633,0.023346424102783203,0.021379947662353516,0.02020263671875,0.022457122802734375,0.010445117950439453
0.0185396671295166,0.027520418167114258,0.026477575302124023,0.022142887115478516,0.021979093551635742,0.024852752685546875,0.01181650161743164
0.015747785568237305,0.02410292625427246,0.023616313934326172,0.022830724716186523,0.022853851318359375,0.025661706924438477,0.01141810417175293
0.015594244003295898,0.02387261390686035,0.024451255798339844,0.023820877075195312,0.022840499877929688,0.02517390251159668,0.012274742126464844
0.015128135681152344,0.023995399475097656,0.06656694412231445,0.023645639419555664,0.021731853485107422,0.024376630783081055,0.0129547119140625
0.014925479888916016,0.025705337524414062,0.024208784103393555,0.022597074508666992,0.021498918533325195,0.025120258331298828,0.011797904968261719
0.015330076217651367,0.025199413299560547,0.023719310760498047,0.023360490798950195,0.022408723831176758,0.024343490600585938,0.011810302734375
0.016185522079467773,0.026031494140625,0.027103662490844727,0.02275872230529785,0.022161006927490234,0.024520158767700195,0.011092901229858398
0.015071630477905273,0.026254892349243164,0.024385690689086914,0.023438692092895508,0.021477222442626953,0.024567127227783203,0.011779546737670898
0.016400575637817383,0.02373814582824707,0.02417159080505371,0.022549152374267578,0.02193760871887207,0.025775671005249023,0.01179647445678711
0.015173196792602539,0.024849891662597656,0.022991418838500977,0.02498793601989746,0.022295713424682617,0.02530193328857422,0.01143956184387207
0.015186548233032227,0.025488615036010742,0.06587886810302734,0.024183988571166992,0.022192716598510742,0.02489161491394043,0.011582136154174805
0.017156600952148438,0.023916006088256836,0.025136232376098633,0.023720979690551758,0.02140331268310547,0.025938034057617188,0.0110931396484375
